event_date,source,medium,campaign,user_sessions_count,visit_to_cart,visit_to_checkout,visit_to_purchase
2021-01-31,google,organic,(organic),889,0.036,0.01687,0.0045
2021-01-31,(direct),(none),(direct),632,0.04905,0.02373,0.01108
2021-01-31,<Other>,<Other>,<Other>,404,0.04208,0.02475,0.0099
2021-01-31,google,cpc,<Other>,153,0.00654,0.00654,0.0
2021-01-31,shop.googlemerchandisestore.com,referral,(referral),215,0.03721,0.02791,0.00465
2021-01-31,(data deleted),(data deleted),(data deleted),138,0.06522,0.02174,0.01449
2021-01-31,<Other>,organic,(organic),67,0.01493,0.01493,0.0
2021-01-31,<Other>,referral,(referral),256,0.01563,0.01563,0.0
2021-01-31,(data deleted),(data deleted),<Other>,5,0.2,0.2,0.0
2021-01-31,<Other>,(data deleted),(data deleted),3,0.0,0.0,0.0
2021-01-30,(direct),(none),(direct),666,0.04655,0.01952,0.01201
2021-01-30,<Other>,<Other>,<Other>,413,0.02906,0.01211,0.00242
2021-01-30,google,cpc,<Other>,129,0.03101,0.0,0.0
2021-01-30,google,organic,(organic),865,0.03353,0.01965,0.00809
2021-01-30,shop.googlemerchandisestore.com,referral,(referral),215,0.06047,0.03721,0.02791
2021-01-30,(data deleted),(data deleted),(data deleted),154,0.06494,0.05195,0.02597
2021-01-30,<Other>,organic,(organic),94,0.02128,0.0,0.0
2021-01-30,<Other>,referral,(referral),276,0.02899,0.00725,0.00725
2021-01-30,<Other>,(data deleted),(data deleted),3,0.33333,0.0,0.0
2021-01-29,shop.googlemerchandisestore.com,referral,(referral),286,0.05944,0.03147,0.02098
2021-01-29,google,organic,(organic),1181,0.02964,0.01524,0.00931
2021-01-29,(direct),(none),(direct),880,0.04659,0.03182,0.01818
2021-01-29,<Other>,organic,(organic),123,0.05691,0.00813,0.0
2021-01-29,<Other>,<Other>,<Other>,537,0.03538,0.01676,0.00559
2021-01-29,<Other>,referral,(referral),350,0.03429,0.03429,0.02286
2021-01-29,(data deleted),(data deleted),(data deleted),227,0.08811,0.04846,0.02643
2021-01-29,google,cpc,<Other>,156,0.0641,0.02564,0.00641
2021-01-29,<Other>,(data deleted),(data deleted),2,0.0,0.0,0.0
2021-01-29,(data deleted),(data deleted),<Other>,4,0.0,0.0,0.0
2021-01-28,google,organic,(organic),1211,0.02725,0.01486,0.00826
2021-01-28,(direct),(none),(direct),998,0.0491,0.02204,0.01403
2021-01-28,<Other>,<Other>,<Other>,593,0.04216,0.01349,0.01012
2021-01-28,google,cpc,<Other>,168,0.05357,0.04167,0.0119
2021-01-28,shop.googlemerchandisestore.com,referral,(referral),340,0.06471,0.02941,0.01765
2021-01-28,(data deleted),(data deleted),(data deleted),249,0.11647,0.05622,0.04819
2021-01-28,<Other>,referral,(referral),397,0.04786,0.02267,0.01259
