"ad_date","media_source","min_spend","max_spend","avg_spend","min_impressions","max_impressions","avg_impressions","min_clicks","max_clicks","avg_clicks","min_value","max_value","avg_value"
2020-11-11,Facebook Ads,189.00,189.00,189.00,1800.00,1800.00,1800.00,45.00,45.00,45.00,238.00,238.00,238.00
2020-11-12,Facebook Ads,34.00,2266.00,1150.00,209.00,10264.00,5236.50,2.00,395.00,198.50,34.00,2079.00,1056.50
2020-11-12,Google Ads,66.00,332.00,199.00,180.00,9124.00,4652.00,7.00,252.00,129.50,76.00,440.00,258.00
2020-11-13,Facebook Ads,14.00,622.00,318.00,66.00,11603.00,5834.50,0.00,451.00,225.50,17.00,960.00,488.50
2020-11-13,Google Ads,1054.00,1054.00,1054.00,6449.00,6449.00,6449.00,108.00,108.00,108.00,1357.00,1357.00,1357.00
2020-11-14,Facebook Ads,727.00,727.00,727.00,5005.00,5005.00,5005.00,392.00,392.00,392.00,1267.00,1267.00,1267.00
2020-11-14,Google Ads,1.00,1.00,1.00,7.00,7.00,7.00,0.00,0.00,0.00,1.00,1.00,1.00
2020-11-15,Facebook Ads,698.00,698.00,698.00,12465.00,12465.00,12465.00,657.00,657.00,657.00,1096.00,1096.00,1096.00
2020-11-15,Google Ads,682.00,682.00,682.00,5210.00,5210.00,5210.00,130.00,130.00,130.00,1000.00,1000.00,1000.00
2020-11-16,Facebook Ads,4167.00,4167.00,4167.00,13113.00,13113.00,13113.00,768.00,768.00,768.00,3291.00,3291.00,3291.00
2020-11-16,Google Ads,2760.00,2760.00,2760.00,17001.00,17001.00,17001.00,597.00,597.00,597.00,3555.00,3555.00,3555.00
2020-11-17,Facebook Ads,1261.00,1261.00,1261.00,17686.00,17686.00,17686.00,270.00,270.00,270.00,1195.00,1195.00,1195.00
2020-11-18,Facebook Ads,3330.00,3330.00,3330.00,4881.00,4881.00,4881.00,177.00,177.00,177.00,3539.00,3539.00,3539.00
2020-11-18,Google Ads,372.00,372.00,372.00,15958.00,15958.00,15958.00,105.00,105.00,105.00,407.00,407.00,407.00
2020-11-19,Facebook Ads,1083.00,1083.00,1083.00,12938.00,12938.00,12938.00,330.00,330.00,330.00,1765.00,1765.00,1765.00
2020-11-20,Facebook Ads,1684.00,1684.00,1684.00,18425.00,18425.00,18425.00,344.00,344.00,344.00,1681.00,1681.00,1681.00
2020-11-20,Google Ads,2433.00,2433.00,2433.00,1781.00,1781.00,1781.00,235.00,235.00,235.00,2602.00,2602.00,2602.00
2020-11-21,Facebook Ads,1819.00,1819.00,1819.00,10351.00,10351.00,10351.00,631.00,631.00,631.00,1716.00,1716.00,1716.00
2020-11-21,Google Ads,2137.00,2137.00,2137.00,5352.00,5352.00,5352.00,447.00,447.00,447.00,3513.00,3513.00,3513.00
2020-11-22,Facebook Ads,3646.00,3646.00,3646.00,9922.00,9922.00,9922.00,263.00,263.00,263.00,4865.00,4865.00,4865.00
2020-11-23,Facebook Ads,1456.00,1456.00,1456.00,14090.00,14090.00,14090.00,116.00,116.00,116.00,2021.00,2021.00,2021.00
2020-11-23,Google Ads,2762.00,2762.00,2762.00,4664.00,4664.00,4664.00,47.00,47.00,47.00,4419.00,4419.00,4419.00
2020-11-24,Facebook Ads,3700.00,3700.00,3700.00,5152.00,5152.00,5152.00,268.00,268.00,268.00,4029.00,4029.00,4029.00
2020-11-24,Google Ads,2402.00,2402.00,2402.00,3471.00,3471.00,3471.00,155.00,155.00,155.00,2432.00,2432.00,2432.00
2020-11-25,Facebook Ads,3995.00,3995.00,3995.00,2625.00,2625.00,2625.00,212.00,212.00,212.00,3586.00,3586.00,3586.00
2020-11-25,Google Ads,398.00,398.00,398.00,4676.00,4676.00,4676.00,316.00,316.00,316.00,271.00,271.00,271.00
2020-11-26,Facebook Ads,1423.00,1423.00,1423.00,8790.00,8790.00,8790.00,185.00,185.00,185.00,1711.00,1711.00,1711.00
2020-11-27,Facebook Ads,771.00,771.00,771.00,9211.00,9211.00,9211.00,128.00,128.00,128.00,1055.00,1055.00,1055.00
